Date,Open,High,Low,Close,Volume,MA_10,MA_30,K,D,covid
2020-05-22,10977.54981,10977.54981,10804.55957,10811.15039,2923700.0,10875.504883999976,10654.11298866664,70.06475034113085,67.67015476941287,0
2020-05-25,10812.94043,10874.54004,10719.25,10871.17969,2222100.0,10861.296875999975,10677.898633333309,57.76781233752604,69.84152178600985,0
2020-05-26,10903.32031,11046.21973,10903.32031,10997.20996,2886300.0,10873.070898999975,10707.831640999975,54.300148255959776,60.710903644872545,0
2020-05-27,11023.92969,11069.71973,10972.25,11014.66016,2794500.0,10880.709961999975,10730.555631999974,73.18010187945576,61.7493541576475,0
2020-05-28,11040.62012,11087.53027,10915.29981,10944.19043,3122300.0,10897.041016999974,10747.12164766664,76.7930977224441,68.0911159526202,0
2020-05-29,10921.16016,10965.03027,10861.90039,10942.16016,3589800.0,10909.765040999971,10766.010970666639,68.63189772651863,72.86836577613981,0
2020-06-01,10971.40039,11109.29004,10971.40039,11079.01953,2655700.0,10943.612012999974,10782.076953666641,69.7899832765166,71.73832624182675,2
2020-06-02,11109.26953,11170.49023,11102.96973,11127.92969,2754300.0,10970.360938999975,10800.117611333308,78.1664686562692,72.1961165531018,0
2020-06-03,11182.51953,11330.51953,11182.51953,11320.16016,3776100.0,11011.596973999976,10834.50895266664,90.58715821979695,79.5145367175279,0
2020-06-04,11373.94043,11425.41992,11341.58008,11393.23047,3539700.0,11050.089063999972,10870.691960666642,92.76174124973488,87.17178937526735,0
2020-06-05,11418.00977,11482.36035,11411.94043,11479.40039,3400800.0,11116.914063999975,10907.78831466664,97.16595816629723,93.50495254527668,0
2020-06-08,11539.0,11631.88965,11528.44043,11610.32031,3822500.0,11190.828125999975,10949.886979999976,96.54349775874095,95.490399058258,0
2020-06-09,11600.61035,11640.4502,11537.37988,11637.11035,3023600.0,11254.818164999975,10985.54834066664,98.20445783094476,97.30463791866129,0
2020-06-10,11635.99023,11740.90039,11621.01953,11720.16016,3477600.0,11325.368164999973,11022.35169366664,96.66626144680124,97.13807234549594,0
2020-06-11,11738.49023,11771.12012,11516.58984,11535.76953,4457500.0,11384.526074999976,11047.80335366664,76.18410371137935,90.35160766304209,0
2020-06-12,11406.54004,11442.29981,11244.63965,11429.94043,3367500.0,11433.304101999976,11062.396712999973,54.825927334682405,75.89209749762132,0
2020-06-15,11436.28027,11469.83984,11299.4502,11306.25977,3034000.0,11456.028125999976,11081.92268966664,27.125275243359766,52.711768763140824,0
2020-06-16,11380.66992,11542.25,11380.66992,11511.63965,2915500.0,11494.399121999975,11106.490332999972,32.53814270957991,38.163115095874346,2
2020-06-17,11525.5,11550.32031,11482.32031,11534.58984,3138800.0,11515.842089999976,11131.810645333311,39.16386553395488,32.942427828965165,0
2020-06-18,11534.2002,11567.41992,11485.38965,11548.33008,3404900.0,11531.352050999976,11155.324317333308,66.62441515723222,46.108807800255995,1
2020-06-19,11557.26953,11584.87988,11542.37012,11549.86035,4580400.0,11538.398046999975,11176.938998333306,78.96335220518614,61.58387763212473,0
2020-06-22,11553.91016,11632.87988,11553.91016,11572.92969,2950700.0,11534.658984999976,11195.594662333307,86.01559971729273,77.201122359904,0
2020-06-23,11618.41992,11679.40039,11530.84961,11612.36035,3057500.0,11532.183984999978,11220.02434966664,76.64811338543312,80.54235510263764,0
2020-06-24,11647.86035,11701.23047,11637.79004,11660.66992,2861900.0,11526.234960999976,11244.104362666641,74.4738387098717,79.04585060419949,0
2020-06-29,11608.79981,11608.79981,11500.65039,11542.62012,2922300.0,11526.920019999976,11269.495703999974,56.038548687681434,69.05350026099572,1
2020-06-30,11563.59961,11638.0,11563.59961,11621.24023,2935300.0,11546.049999999976,11296.373047666635,54.0842806353483,61.53222267763412,0
2020-07-01,11622.63965,11736.38965,11622.63965,11703.41992,2868400.0,11585.766014999976,11328.468717999973,55.68634883584193,55.26972605295754,0
2020-07-02,11694.09961,11805.20996,11690.9502,11805.13965,3060100.0,11615.116014999972,11359.958691999973,82.0372613978126,63.93596362300125,1
2020-07-03,11857.90039,11933.58984,11857.90039,11909.16016,3536100.0,11652.573046999973,11393.337370333304,93.44949677471097,77.05770233612212,1
2020-07-06,11941.83984,12116.7002,11941.83984,12116.7002,4451500.0,11709.410058999976,11430.28372466664,98.11138890078264,91.19938235776905,0
2020-07-07,12176.79004,12249.9502,12028.57031,12092.96973,4263000.0,11763.720996999975,11473.011035999973,89.77762978852915,93.77950515467457,0
2020-07-08,12086.12988,12190.26953,12083.83984,12170.19043,3598500.0,11823.447070999975,11516.311393999973,86.90244723254355,91.59715530728545,0
2020-07-09,12222.90039,12273.42969,12181.33984,12192.69043,3882900.0,11881.480078999975,11556.160742999973,80.42562678530508,85.70190126879292,0
2020-07-10,12250.44043,12253.58008,12030.2002,12073.67969,4166700.0,11922.781055999973,11591.461393999973,68.68705358252231,78.67170920012397,2
2020-07-13,12109.61035,12216.24023,12109.61035,12211.55957,3558300.0,11989.675000999972,11633.707031999973,65.02061437834169,71.37776491539002,0
2020-07-14,12202.88965,12228.30957,12143.91016,12209.00977,3333000.0,12048.451954999975,11675.935352333303,62.66902069427283,65.45889621837928,0
2020-07-15,12233.99023,12320.48047,12162.51953,12202.84961,3905800.0,12098.394923999975,11713.396354999973,69.24131429499808,65.64364978920452,0
2020-07-16,12173.04004,12220.92969,12107.04004,12157.74023,3196600.0,12133.654981999976,11747.72337299997,58.9761378854957,63.62882429158918,1
2020-07-17,12195.71973,12266.92969,12144.62012,12181.55957,3396200.0,12160.894922999973,11776.436686666635,46.10905287136606,58.10883501728693,2
2020-07-20,12205.25,12221.33008,12065.79981,12174.54004,2819300.0,12166.678906999972,11802.48033899997,40.515685887833115,48.53362554823194,1
2020-07-21,12242.32031,12450.16016,12242.32031,12397.54981,3529000.0,12197.136914999974,11833.085319666636,54.64081081764249,47.08851652561422,0
2020-07-22,12389.75977,12486.9502,12389.40039,12473.26953,3424000.0,12227.444824999973,11861.850293666635,75.25350832223721,56.80333500923794,0
2020-07-23,12423.01953,12429.75977,12347.86035,12413.04004,3426700.0,12249.479785999973,11887.714616666635,88.50474648451019,72.79968854146362,0
2020-07-24,12467.42969,12502.83984,12266.54981,12304.04004,3996200.0,12272.515820999974,11907.177279333304,77.90474278625761,80.55433253100199,3
2020-07-27,12618.69043,12686.36035,12586.91016,12588.29981,3687300.0,12310.189844999974,11942.26162199997,71.62630586251736,79.3452650444287,4
2020-07-28,12951.71973,13031.7002,12533.19043,12586.73047,4457700.0,12347.961914999973,11980.82128999997,58.091320237193536,69.20745629532315,5
2020-07-29,12530.74023,12660.87012,12488.00977,12540.96973,3067000.0,12381.773926999973,12021.978288666638,51.87552446357642,60.53105018776277,0
2020-07-30,12691.86035,12769.46973,12616.83008,12722.91992,3244900.0,12438.291895999973,12062.354297666638,45.784929069085855,51.9172579232856,0
2020-07-31,12653.45996,12733.48047,12635.70996,12664.79981,3171700.0,12486.615919999973,12100.027963333303,42.675335207519424,46.778596246727574,0
2020-08-03,12642.73047,12673.01953,12506.58984,12513.03027,3391600.0,12520.464942999974,12132.184636333306,32.2543822296748,40.23821550209369,8
2020-08-04,12577.87988,12709.91992,12577.87988,12709.91992,3465700.0,12551.701953999973,12170.85328866664,38.65372578596856,37.861147741054594,1
2020-08-05,12762.33984,12816.38965,12739.99023,12802.29981,3917200.0,12584.604981999973,12211.83229266664,59.63215251078327,43.513420175475886,1
